AssessmentID,StudentID,CompanyID,CodingScore,SQLScore,AptitudeScore,AssessmentDate,Status
1,120,9,94,41,94,2025-12-28,Pending
2,122,9,61,52,56,2025-09-18,Qualified
3,124,7,66,54,92,2025-09-29,Rejected
4,104,2,68,81,72,2025-12-21,Rejected
5,120,9,94,65,74,2025-07-27,Pending
6,176,4,86,64,49,2026-02-17,Rejected
7,137,3,56,75,88,2025-11-09,Qualified
8,138,5,79,42,98,2026-02-17,Rejected
9,112,5,49,93,81,2026-06-17,Rejected
10,128,9,65,63,55,2026-03-18,Pending
11,110,9,73,58,58,2026-02-28,Qualified
12,40,5,74,74,84,2025-10-05,Qualified
13,176,7,41,50,50,2026-04-17,Qualified
14,50,8,99,86,60,2026-03-21,Qualified
15,62,9,61,63,52,2026-01-21,Rejected
16,34,6,56,97,85,2026-05-09,Pending
17,64,8,88,96,76,2025-08-08,Rejected
18,38,4,46,52,66,2025-11-07,Pending
19,26,1,62,51,46,2026-04-25,Qualified
20,16,4,43,94,84,2026-04-30,Pending
21,66,1,58,80,96,2026-02-28,Pending
22,33,5,60,73,51,2025-09-19,Pending
23,170,3,88,84,62,2025-09-27,Pending
24,41,7,94,92,55,2025-10-15,Pending
25,161,6,93,95,84,2026-04-28,Pending
26,91,8,98,97,43,2025-09-03,Rejected
27,88,5,60,59,68,2026-01-21,Pending
28,154,6,76,81,53,2025-08-18,Pending
29,32,8,72,98,62,2025-11-29,Qualified
30,191,5,83,65,59,2026-01-02,Qualified
31,99,3,50,67,65,2026-03-29,Qualified
32,14,3,91,81,84,2025-12-05,Pending
33,89,5,96,98,40,2025-10-01,Qualified
34,119,2,51,43,46,2025-09-01,Qualified
35,108,3,72,59,71,2025-08-08,Qualified
36,9,1,76,65,60,2025-08-08,Rejected
37,25,4,49,76,54,2026-06-09,Qualified
38,142,2,62,54,57,2025-12-28,Pending
39,135,9,45,77,43,2026-01-09,Qualified
40,14,7,99,42,92,2026-04-05,Pending
41,135,2,60,52,74,2026-06-15,Qualified
42,110,9,46,42,44,2025-11-19,Pending
43,84,10,85,50,97,2026-04-28,Pending
44,86,7,43,75,52,2025-08-07,Pending
45,2,2,89,96,75,2025-12-07,Pending
46,126,4,88,59,46,2026-06-21,Rejected
47,60,4,67,43,87,2025-07-28,Qualified
48,36,1,87,49,51,2026-05-19,Qualified
49,34,2,69,56,57,2026-05-10,Qualified
50,41,4,81,46,82,2026-07-03,Pending
