InterviewID,StudentID,CompanyID,TechnicalRound,HRRound,InterviewDate,Result
1,144,9,Pass,Pass,2026-03-31,Pending
2,32,3,Pass,Pass,2026-03-28,Selected
3,160,8,Fail,Pending,2026-02-04,Pending
4,184,9,Fail,Fail,2025-09-20,Pending
5,190,5,Pass,Pass,2025-12-06,Rejected
6,2,2,Fail,Fail,2025-11-04,Rejected
7,182,8,Fail,Fail,2026-04-06,Rejected
8,103,2,Fail,Fail,2025-09-02,Selected
9,57,7,Fail,Fail,2026-07-10,Rejected
10,8,9,Fail,Fail,2026-03-11,Rejected
11,23,1,Pass,Pass,2026-06-23,Pending
12,84,9,Pass,Pending,2026-01-25,Rejected
13,84,4,Pass,Fail,2026-03-15,Pending
14,119,7,Fail,Fail,2025-12-11,Rejected
15,196,3,Pass,Pass,2026-03-09,Selected
16,25,4,Fail,Fail,2026-02-24,Rejected
17,119,8,Pass,Pass,2025-09-13,Selected
18,92,4,Pass,Pass,2026-07-10,Rejected
19,23,5,Pass,Fail,2026-01-29,Selected
20,99,10,Pass,Pass,2025-12-05,Rejected
21,38,1,Fail,Pass,2025-07-27,Selected
22,144,3,Pass,Fail,2025-08-25,Pending
23,66,10,Fail,Fail,2025-09-04,Pending
24,35,1,Fail,Pass,2025-12-24,Pending
25,173,6,Pass,Fail,2026-03-23,Rejected
26,133,9,Fail,Fail,2025-10-01,Selected
27,38,5,Fail,Fail,2026-04-20,Selected
28,33,2,Pass,Fail,2026-06-21,Rejected
29,105,3,Fail,Fail,2026-02-05,Selected
30,32,2,Fail,Fail,2025-11-02,Pending
31,54,6,Fail,Pending,2025-12-14,Pending
32,78,8,Fail,Fail,2025-08-22,Pending
33,38,5,Pass,Fail,2026-02-12,Rejected
34,61,1,Pass,Fail,2026-01-27,Selected
35,89,2,Fail,Pass,2025-10-25,Selected
36,39,6,Pass,Fail,2026-06-14,Rejected
37,132,5,Pass,Fail,2026-01-14,Pending
38,9,4,Fail,Fail,2026-02-24,Pending
39,138,5,Pass,Fail,2026-04-28,Pending
40,27,9,Fail,Pending,2026-07-13,Selected
41,116,3,Fail,Pass,2026-01-22,Rejected
