StudentSkillID,StudentID,SkillID,SkillLevel
1,1,6,Beginner
2,1,15,Intermediate
3,1,13,Intermediate
4,1,10,Intermediate
5,1,5,Beginner
6,2,2,Intermediate
7,2,4,Beginner
8,2,13,Intermediate
9,2,7,Intermediate
10,3,14,Intermediate
11,3,11,Beginner
12,3,10,Beginner
13,3,1,Beginner
14,4,9,Advanced
15,4,13,Beginner
16,4,4,Advanced
17,5,2,Beginner
18,5,6,Beginner
19,5,3,Intermediate
20,5,8,Advanced
21,6,4,Beginner
22,6,9,Advanced
23,6,11,Intermediate
24,7,4,Advanced
25,7,2,Intermediate
26,7,1,Beginner
27,7,14,Beginner
28,7,12,Intermediate
29,7,11,Advanced
30,8,1,Beginner
31,8,10,Intermediate
32,8,8,Intermediate
33,9,8,Intermediate
34,9,1,Beginner
35,9,2,Intermediate
36,9,7,Beginner
37,9,13,Beginner
38,9,6,Advanced
39,10,3,Intermediate
40,10,14,Beginner
41,10,8,Beginner
42,10,2,Advanced
43,10,10,Advanced
44,10,13,Advanced
45,11,5,Beginner
46,11,15,Advanced
47,11,8,Beginner
48,11,9,Intermediate
49,12,8,Beginner
50,12,3,Intermediate
51,12,9,Beginner
52,13,1,Beginner
53,13,14,Advanced
54,13,15,Intermediate
55,13,2,Intermediate
56,13,9,Intermediate
57,13,3,Beginner
58,14,6,Beginner
59,14,10,Advanced
60,14,11,Advanced
61,14,2,Intermediate
62,15,8,Beginner
63,15,2,Beginner
64,15,1,Intermediate
65,15,4,Advanced
66,15,6,Intermediate
67,16,9,Advanced
68,16,1,Beginner
69,16,12,Beginner
70,16,5,Intermediate
71,17,1,Advanced
72,17,2,Advanced
73,17,6,Beginner
74,17,3,Advanced
75,17,14,Advanced
76,18,15,Beginner
77,18,3,Advanced
78,18,5,Intermediate
79,18,4,Advanced
80,19,15,Advanced
81,19,10,Beginner
82,19,8,Intermediate
83,19,11,Beginner
84,19,13,Advanced
85,20,3,Beginner
86,20,7,Beginner
87,20,6,Beginner
88,20,2,Advanced
89,20,5,Advanced
90,20,11,Beginner
91,21,13,Beginner
92,21,8,Advanced
93,21,5,Beginner
94,22,1,Beginner
95,22,13,Beginner
96,22,9,Advanced
97,22,4,Advanced
98,23,6,Beginner
99,23,14,Advanced
100,23,8,Intermediate
101,24,2,Advanced
102,24,3,Intermediate
103,24,10,Beginner
104,24,9,Intermediate
105,24,5,Beginner
106,25,10,Advanced
107,25,4,Beginner
108,25,7,Intermediate
109,25,13,Beginner
110,26,13,Intermediate
111,26,3,Advanced
112,26,11,Intermediate
113,26,5,Intermediate
114,26,2,Beginner
115,26,1,Beginner
116,27,7,Advanced
117,27,14,Advanced
118,27,12,Beginner
119,28,11,Intermediate
120,28,5,Advanced
121,28,9,Advanced
122,28,10,Advanced
123,28,4,Advanced
124,29,12,Beginner
125,29,14,Intermediate
126,29,15,Intermediate
127,29,7,Beginner
128,29,3,Advanced
129,29,6,Advanced
130,30,12,Beginner
131,30,13,Advanced
132,30,7,Advanced
133,30,3,Beginner
134,30,4,Intermediate
135,30,10,Beginner
136,31,4,Intermediate
137,31,3,Beginner
138,31,5,Beginner
139,31,14,Beginner
140,31,1,Beginner
141,32,4,Intermediate
142,32,2,Beginner
143,32,5,Beginner
144,32,13,Intermediate
145,33,4,Intermediate
146,33,10,Intermediate
147,33,1,Beginner
148,33,13,Advanced
149,33,6,Beginner
150,34,2,Intermediate
151,34,12,Beginner
152,34,11,Advanced
153,34,4,Intermediate
154,35,13,Beginner
155,35,12,Intermediate
156,35,1,Intermediate
157,36,15,Advanced
158,36,7,Beginner
159,36,9,Advanced
160,36,5,Advanced
161,36,6,Beginner
162,37,9,Intermediate
