OfferID,StudentID,CompanyID,OfferedPackage,OfferDate,OfferStatus
1,156,3,26.63,2025-10-07,Rejected
2,135,10,16.93,2025-10-13,Pending
3,160,5,25.45,2026-01-03,Accepted
4,90,9,22.55,2025-07-25,Accepted
5,52,4,7.49,2025-11-09,Accepted
6,104,6,18.27,2025-09-23,Pending
7,194,6,9.48,2025-12-25,Pending
8,137,10,25.33,2026-04-19,Pending
9,83,2,23.84,2026-04-03,Pending
10,45,9,29.17,2025-12-06,Pending
11,147,4,15.54,2025-08-08,Rejected
12,83,8,17.46,2025-11-26,Accepted
13,107,10,13.27,2025-10-26,Rejected
14,14,2,6.32,2026-06-30,Pending
15,115,4,22.39,2025-08-14,Accepted
16,109,10,17.21,2025-09-11,Rejected
17,148,6,10.61,2025-09-28,Pending
18,111,3,25.06,2026-06-30,Accepted
19,76,4,17.86,2025-08-17,Accepted
20,43,1,20.47,2026-03-06,Accepted
21,107,4,12.58,2026-07-17,Rejected
22,88,3,6.69,2026-02-06,Accepted
23,110,6,26.79,2025-09-09,Rejected
24,50,7,29.82,2026-02-06,Accepted
25,182,1,17.63,2025-12-13,Pending
26,191,2,6.53,2026-02-09,Pending
27,137,4,19.87,2026-04-09,Pending
28,23,8,10.52,2026-03-12,Rejected
29,187,1,26.83,2026-02-04,Accepted
30,99,1,21.19,2026-05-31,Rejected
31,148,9,11.44,2025-10-30,Pending
32,160,7,24.07,2025-11-07,Pending
33,14,3,14.47,2025-07-27,Pending
34,141,10,12.18,2026-02-14,Pending
35,91,10,13.74,2026-02-07,Accepted
36,97,1,9.06,2025-09-28,Accepted
37,191,8,14.36,2025-10-01,Pending
38,55,1,18.66,2026-06-17,Pending
39,80,5,9.71,2026-04-09,Accepted
40,188,3,16.78,2026-05-14,Rejected
41,184,8,18.17,2026-02-14,Pending
42,137,5,24.19,2026-07-14,Accepted
43,167,8,24.07,2026-03-02,Rejected
44,11,9,27.75,2025-08-08,Rejected
45,136,10,7.31,2025-12-21,Rejected
46,144,10,6.47,2025-08-11,Pending
47,180,2,5.72,2025-09-08,Pending
48,98,5,25.92,2025-10-06,Accepted
49,12,1,27.38,2025-12-17,Pending
50,158,5,17.93,2026-07-15,Rejected
51,132,8,19.69,2026-04-18,Pending
52,174,2,5.2,2025-07-28,Accepted
53,176,4,14.12,2026-05-07,Accepted
54,4,1,27.12,2025-09-19,Pending
55,103,7,15.12,2026-04-30,Pending
56,159,3,19.5,2026-07-10,Pending
57,166,10,5.68,2026-05-07,Rejected
58,16,5,10.97,2026-03-19,Rejected
59,7,3,17.57,2026-02-21,Pending
60,29,10,28.34,2026-06-02,Rejected
61,156,7,12.78,2025-10-15,Pending
62,41,7,26.82,2025-10-06,Accepted
63,68,1,7.63,2026-07-13,Rejected
64,66,7,8.48,2026-07-18,Accepted
65,139,3,18.98,2025-12-21,Accepted
66,122,3,11.54,2025-08-29,Accepted
67,90,6,19.07,2026-05-14,Pending
68,4,1,10.4,2026-02-01,Accepted
69,57,9,20.79,2025-10-08,Accepted
70,42,9,9.74,2025-12-30,Accepted
71,73,7,10.04,2025-10-17,Rejected
72,21,9,19.53,2026-07-19,Pending
73,157,8,12.36,2026-05-27,Pending
74,187,4,27.44,2025-11-24,Pending
75,130,3,22.78,2025-08-31,Pending
76,177,9,15.24,2026-06-05,Pending
77,134,3,18.9,2025-10-19,Rejected
78,16,7,16.48,2026-06-26,Rejected
79,171,2,12.91,2026-06-27,Pending
80,77,5,9.21,2026-01-05,Pending
81,94,7,11.52,2026-03-06,Pending
82,170,3,27.66,2026-03-14,Accepted
83,57,5,22.95,2026-06-22,Rejected
84,127,7,19.67,2025-10-05,Accepted
85,93,1,27.4,2025-09-25,Accepted
86,188,3,15.68,2025-11-24,Pending
87,46,3,28.73,2026-01-15,Rejected
88,94,10,23.82,2026-04-24,Rejected
89,143,10,28.43,2025-10-26,Rejected
90,200,8,7.73,2026-02-22,Rejected
91,179,10,28.99,2025-12-04,Pending
92,84,3,23.04,2026-06-28,Rejected
93,150,9,18.98,2025-12-28,Rejected
